I,chi_eff_true,chi_eff_H1,chi_eff_H0
0.487374749498998,1.5671681947728189,1.8110009035459074,1.1791121064780832
0.4937875751503006,1.5982301399716228,1.8614410060150623,1.200140926297574
0.5002004008016032,1.6283438817723201,1.9109961168261913,1.2203669680499107
0.5066132264529059,1.6575275975346653,1.9596832015499492,1.2398056212451571
0.5130260521042084,1.685798891159525,2.0075186905275997,1.2584717898854834
0.519438877755511,1.7131748181017823,2.0545185022164283,1.2763799136418914
0.5258517034068136,1.7396719089977708,2.100698065242076,1.2935439878579
0.5322645290581163,1.765306191999862,2.1460723392441814,1.3099775824587034
0.5386773547094188,1.7900932139036776,2.190655834595165,1.3256938598381147
0.5450901803607214,1.814048060146721,2.234462631065644,1.3407055917900141
0.5515030060120241,1.8371853737512698,2.277506395504523,1.3550251755459986
0.5579158316633267,1.8595193732788395,2.319800398596496,1.3686646489761571
0.5643286573146292,1.8810638698585418,2.361357530755239,1.3816357050058237
0.5707414829659319,1.9018322833470727,2.402190317206097,1.3939497052971124
0.5771543086172345,1.9218376576738478,2.4423109323082244,1.4056176932405648
0.5835671342685371,1.941092675420892,2.481731213162517,1.416650406298956
0.5899799599198396,1.959609671683733,2.5204626725484696,1.4270582877423266
0.5963927855711423,1.9774006472560348,2.5585165112298736,1.4368514978105207
0.6028056112224449,1.9944772811779572,2.5959036296666227,1.4460399243369935
0.6092184368737475,2.010850942685334,2.632634639167316,1.4546331928653675
0.6156312625250501,2.026532702594263,2.6687198725148935,1.4626406762879647
0.6220440881763527,2.0415333441534322,2.704169394095487,1.4700715040337133
0.6284569138276553,2.0558633733941907,2.7389930095585253,1.4769345708308563
0.6348697394789579,2.0695330290065765,2.773200275034359,1.4832385450682821
0.6412825651302605,2.082552291767511,2.806800505933934,1.488991876777721
0.6476953907815631,2.0949308935457616,2.839802785353445,1.494202805257638
0.6541082164328658,2.106678325906657,2.8722159721054172,1.4988793663582314
0.6605210420841683,2.1178038483380774,2.9040487083963082,1.5030293994458255
0.6669338677354709,2.128316496117913,2.9353094271694893,1.5066605540636875
0.6733466933867736,2.1382250878419047,2.9660063591312404,1.509780296305335
0.6797595190380762,2.1475382326295716,2.9961475394763077,1.5123959149152917
0.6861723446893787,2.156264337024977,3.0257408143286124,1.514514527131496
0.6925851703406813,2.1644116116079104,3.0547938469117177,1.5161430842825165
0.698997995991984,2.171988077330207,3.083314123462733,1.5172883771520862
0.7054108216432866,2.179001571591092,3.11130895890264,1.5179570411226706
0.7118236472945891,2.1854597540645155,3.1387855022751623,1.5181555611090722
0.7182364729458918,2.1913701122907714,3.1657507419656046,1.5178902762924498
0.7246492985971944,2.196739967043932,3.192211510710493,1.5171673846645888
0.731062124248497,2.2015764774859985,3.2181744904080922,1.515992947391517
0.7374749498997996,2.2058866461180493,3.243646216739524,1.514372893005337
0.7438877755511022,2.2096773235380223,3.2686330836093394,1.5123130214322895
0.7503006012024048,2.212955213014359,3.2931413474142843,1.5098190078649445
0.7567134268537075,2.215726874884055,3.317177131148144,1.506896406485735
0.76312625250501,2.217998730783389,3.3407464283504407,1.5035506540488157
0.7695390781563126,2.219777067718958,3.363855106906053,1.4997870733267131
0.7759519038076153,2.2210680419863476,3.3865089127026877,1.4956108764280138
0.7823647294589179,2.221877682943413,3.4087134731525754,1.4910271679919251
0.7887775551102204,2.2222118966446036,3.4304743005845406,1.4860409482652202
0.795190380761523,2.222076469342621,3.4517967955122053,1.4806571160668316
0.8016032064128257,2.2214770708632336,3.4726862497838358,1.4748804716450756
0.8080160320641283,2.2204192578588486,3.4931478496190174,1.4687157194322413
0.8144288577154308,2.2189084769461047,3.5131866785370516,1.46216747070096
0.8208416833667335,2.216950067732496,3.532807720181861,1.4552402461266443
0.8272545090180361,2.2145492657368067,3.5520158610476873,1.4479384782600029
0.8336673346693386,2.2117112052078536,3.5708158931099465,1.440266513913489
0.8400801603206413,2.2084409218458454,3.589212516365162,1.4322286164652898
0.8464929859719439,2.2047433554304305,3.607210341283823,1.423828968084301
0.8529058116232465,2.2006233523593206,3.6248138911797625,1.41507167187941
0.859318637274549,2.1960856681011833,3.642027604499523,1.4059607539761778
0.8657314629258517,2.191134969566301,3.6588558370349986,1.3965001655239373
0.8721442885771543,2.185775837398353,3.675302864062415,1.386693784636055
0.878557114228457,2.1800127681905224,3.6913728824107004,1.3765454182661827
0.8849699398797595,2.173850176628907,3.7070700124620224,1.3660588040229165
0.8913827655310621,2.1672923975661824,3.7223983000872014,1.3552376119254301
0.8977955911823647,2.1603436880282523,3.737361718518578,1.3440854461023655
0.9042084168336674,2.1530082291565087,3.7519641701628075,1.3326058464362145
0.9106212424849699,2.1452901280881918,3.766209488355873,1.3208022901552852
0.9170340681362725,2.137193419777308,3.780101439062582,1.308678193375334
0.9234468937875752,2.1287220687582895,3.7936437225226847,1.2962369125927644
0.9298597194388778,2.119879970854683,3.806839974845632,1.2834817461312316
0.9362725450901803,2.1106709548348697,3.819693769555931,1.270415935543431
0.942685370741483,2.101098784016841,3.832208619090931,1.2570426669697508
0.9490981963927856,2.091167157823964,3.8443879762528645,1.2433650724554255
0.9555110220440882,2.0808797132934522,3.8562352356167846,1.2293862312276662
0.9619238476953907,2.070240026539423,3.867753734896068,1.2151091709343316
0.9683366733466934,2.059251614172105,3.8789467562670055,1.2005368688454485
0.974749498997996,2.0479179346748033,3.8898175276539906,1.185672253019014
0.9811623246492986,2.0362423897402238,3.9003692239767354,1.1705182034323602
